Código;Nombre;Sección;Denominación de Origen;Nota de cata;Fuente
02501773;VINO MENCIA ABADIA DA COVA 6/75C;02-11 BEBIDAS;D.O. Ribeira Sacra;;
03499084;V.BCO.VALDEORRAS VINAREDO 6/0,75;02-11 BEBIDAS;D.O. Valdeorras;;
05019120;V.MENCIA D.O.VALDEOR. J.REBOLLED;02-11 BEBIDAS;D.O. Valdeorras;;
10740801;EST.VINO 2BOT.RECTORAL AMANDI 1/;02-11 BEBIDAS;D.O. Ribeira Sacra;;
11194255;V.RIBEIRA SACRA VIA ROMANA 6/75;02-11 BEBIDAS;D.O. Ribeira Sacra;;
15096969;V.VALDEORRAS MENCIA VAL DO GALIR;02-11 BEBIDAS;D.O. Valdeorras;;
15148356;VINO R.SACRA REGINA VIARUM TTO.6;02-11 BEBIDAS;D.O. Ribeira Sacra;;
15148364;VINO R.SACRA VIA APPIA TTO.6/75C;02-11 BEBIDAS;D.O. Ribeira Sacra;;
15293715;VINO MENCIA VALDEORRAS AS CHAS 6;02-11 BEBIDAS;D.O. Valdeorras;;
15325459;V.MONTERREI MENCIA COLLEITA TTO.;02-11 BEBIDAS;D.O. Monterrei;;
16658007;VINO R.SACRA RECT.AMANDI TTO.6/1;02-11 BEBIDAS;D.O. Ribeira Sacra;;
17481656;1/4BX VINO RECTORAL DE AMANDI 14;02-11 BEBIDAS;D.O. Ribeira Sacra;;
19177344;VINO MONTERREI LADAIRO TINTO 12/;02-11 BEBIDAS;D.O. Monterrei;;
19278662;V.MONTE.MENCIA Q.TAPIAS 6/75CL;02-11 BEBIDAS;D.O. Monterrei;;
23180631;VINO MENCIA PONTE BOGA 0,75 C/12;02-11 BEBIDAS;D.O. Ribeira Sacra;;
23532195;VINO MENCIA C. MOREIRAS 75CL C/6;02-11 BEBIDAS;D.O. Ribeira Sacra;;
23532310;VINO MENCIA CAMPAZA 75CL C/6;02-11 BEBIDAS;Mencía (sin D.O. especificada);;
23629975;V. MENCIA MONTERREI CURA MALES 6;02-11 BEBIDAS;D.O. Monterrei;;
24442667;VINO RIBEIRA SACRA POBRE TOLO 6/;02-11 BEBIDAS;D.O. Ribeira Sacra;;
25596388;VINO GODELLO VALD. LUAR DO SIL 6;02-11 BEBIDAS;D.O. Valdeorras;;
25745829;VINO D.O.VALD PAZO BUBELA MENCIA;02-11 BEBIDAS;D.O. Valdeorras;;
25918707;VINO GODELLO D.O.VALDEORRAS LOURO 75 CL;02-11 BEBIDAS;D.O. Valdeorras;;
26142281;V. MENCIA MONTERREI TIRABEQUE 6/;02-11 BEBIDAS;D.O. Monterrei;;
00318808;VINO LOS MOLINOS TTO 6/75CL;02-11 BEBIDAS;D.O. Valdepeñas;;
02139251;VINO CARTA PLATA TTO.6/75CL;02-11 BEBIDAS;Sin D.O. / genérico;;
02843613;VINO MENCIA LAGAR ROBLA TTO.6/75;02-11 BEBIDAS;D.O. Bierzo;;
08520710;VINO T.CASTILLA MAURO COS.14TTO.;02-11 BEBIDAS;Castilla y León (VT);;
19989706;VINO TTO MENCIA ENCANTO 6/75CL;02-11 BEBIDAS;Mencía (sin D.O. especificada);;
18293977;VINO ROMATE PEDRO XIMENEZ 6/75CL;02-11 BEBIDAS;D.O. Jerez;;
10311793;VINO FINO HEGEMONIA MAYOR 6/75CL;02-11 BEBIDAS;D.O. Montilla-Moriles;;
05018726;VINO OPORTO RUBY BARROS 6/750ML;02-11 BEBIDAS;Oporto (Portugal);;
05018825;VINO OPORTO TAWNY BARROS 6/750ML;02-11 BEBIDAS;Oporto (Portugal);;
20161832;VINO OPORTO BARROS 10 AÑOS 6/750;02-11 BEBIDAS;Oporto (Portugal);;
00317784;VINO DULCE MALAGA VIRGEN 6/75CL;02-11 BEBIDAS;Málaga;;
03508702;VINO QUINADO ANIBAL 6/1LT;02-11 BEBIDAS;Vino quinado / aromatizado;;
00324848;VINO PEÑASCAL AGUJA RDO.6/75CL;02-11 BEBIDAS;Castilla y León (vino de aguja);;
00383414;VINO AGUJA MATEUS RDO.6/75CL;02-11 BEBIDAS;Portugal (rosado);;
01333665;VINO LAMBRUSCO S.ORSOLA RDO.6/75;02-11 BEBIDAS;Lambrusco (Italia);;
02151181;VINO LAMBRUSCO S.ORSOLA TTO.6/75;02-11 BEBIDAS;Lambrusco (Italia);;
16163636;VINO SIN ALCOHOL ELIVO BCO.6/75C;02-11 BEBIDAS;Sin alcohol / desalcoholizado;;
26486902;VINO SIN ALCOHOL MARIETA 0,75L C;02-11 BEBIDAS;Sin alcohol / desalcoholizado;;
16163107;VINO SIN ALCOHOL ELIVO TTO.6/75C;02-11 BEBIDAS;Sin alcohol / desalcoholizado;;
00506337;CHAMPAGNE DON PERIGNON EST. C/6;02-11 BEBIDAS;Champagne (Francia);;
00564187;CHAMPAG.POMMERY 0,75L C/6;02-11 BEBIDAS;Champagne (Francia);;
00587808;CHAMPAGNE VEUVE CLICQU.BRUT 6/75;02-11 BEBIDAS;Champagne (Francia);;
02678571;CHAMPAGNE MOET CHANDON BRUT ROSE;02-11 BEBIDAS;Champagne (Francia);;
26489492;CHAMP.BRUT RUINART BLANC 0,75L C;02-11 BEBIDAS;Champagne (Francia);;
00157271;CAVA JUVE CAMPS RVA.6/75CL;02-11 BEBIDAS;Cava;;
00347112;CAVA C.CARALT BRUT NATUR 6/75CL;02-11 BEBIDAS;Cava;;
00373415;CAVA FREIXENET BRUT NATURE 6/75C;02-11 BEBIDAS;Cava;;
05886155;CAVA BRUT NAT.JAUME SERRA 6/75 C;02-11 BEBIDAS;Cava;;
18472514;V.ESPUMOSO ALBARIÑO ALMA ATLANTI;02-11 BEBIDAS;D.O. Rías Baixas;;
23858210;VINO ESPUMOSO BCO PAZO  0,75L C/;02-11 BEBIDAS;Espumoso (sin D.O.);;
25908021;V.ESPUM.ALBAR.A.ATLÁNTIC 0,37L C;02-11 BEBIDAS;D.O. Rías Baixas;;
90045489;ESPUM.D.O.R.BAIX.BRUT N.M.FRADES;02-11 BEBIDAS;D.O. Rías Baixas;;
00151357;CAVA CODORNIU EXTRA BRUT 6/75CL;02-11 BEBIDAS;Cava;;
00156695;CAVA FREIXENET BRUT BARROCO 6/75;02-11 BEBIDAS;Cava;;
00218404;CAVA BRUT VALL D,LLUNA 6/75CL;02-11 BEBIDAS;Cava;;
00313254;CAVA ANNA DE CODORNIU 6/75CL;02-11 BEBIDAS;Cava;;
00373217;CAVA NUBIOLA GRAPA BRUT 6/75CL;02-11 BEBIDAS;Cava;;
20113759;ESPUMOSO G.100%R.B.ANCORA SILLEI;02-11 BEBIDAS;Espumoso (sin D.O.);;
15784374;CAVA SIN ALCOHOL CHAMPIN 8/75CL;02-11 BEBIDAS;Sin alcohol / desalcoholizado;;
00218446;CAVA SEMI VALL D,LLUNA 6/75CL;02-11 BEBIDAS;Cava;;
19269950;V.ESPUM.MENCIA ROSE ALMA ATLANTI;02-11 BEBIDAS;Espumoso (sin D.O.);;
24537896;ESPUMO.MENCIA ANCORA SILLEIRO 6/;02-11 BEBIDAS;Espumoso (sin D.O.);;
25908039;V.ESPUM.MENCÍ.A.ATLÁNTIC 0,37L C;02-11 BEBIDAS;Espumoso (sin D.O.);;
00373449;CAVA MINI NEVADA S-SFREIXENET 3X;02-11 BEBIDAS;Cava;;
23410616;SIDRA EXT.ACHAMPAÑ.ZIBER 12/75CL;02-11 BEBIDAS;Sidra;;
26521187;VVINO RIBEIRO TREIXADURA RAMON CASAR 75 CL;02-11 BEBIDAS;D.O. Ribeiro;;
26506485;RIBERO DUERO FIGUERO 12 75 CL;02-11 BEBIDAS;D.O. Ribeiro;;
00037976;CHAMPAGNE TAITTINGER RVA 75 CL;02-11 BEBIDAS;Champagne (Francia);;
20161931;CHAMPAGNE BOLLINGER SP CUVEE 75 CL;02-11 BEBIDAS;Champagne (Francia);;
26504860;V.ESPUM. R.BAIXAS VALTEA 0,75L C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
26498543;V.BCO R.BAIXAS MAR FRADES 1,5L C;02-11 BEBIDAS;D.O. Rías Baixas;;
26769604;V.BCO R.BAIXAS SUCELLOS 0,75L C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
26696641;V.BCO DO R.BAIXAS D.LUCI 0,75L C;02-11 BEBIDAS;D.O. Rías Baixas;;
26709295;V.BCO DO R.BAIXAS XIÓN 0,75L C/1;02-11 BEBIDAS;D.O. Rías Baixas;;
26601849;DO MONTERREI MARA MARTIN 1,5L C/;02-11 BEBIDAS;D.O. Monterrei;;
26683417;V.DO RIBEIRO CASAL ARMAN 1,5L C/;02-11 BEBIDAS;D.O. Ribeiro;;
26709287;V.BCO DO RIBEIRO VILERMA 0,75L C;02-11 BEBIDAS;D.O. Ribeiro;;
14999452;TTO DO R.DUERO CZA VALTRAVIESO C;02-11 BEBIDAS;D.O. Ribera del Duero;;
26498568;TTO. R.DUERO JVN PROTOS 1,5L C/6;02-11 BEBIDAS;D.O. Ribera del Duero;;
26689760;V.TTO DO R.DUERO EBANO 6 1,5L C/;02-11 BEBIDAS;D.O. Ribera del Duero;;
90031761;VINO DO.R.DUERO CONDE S.CRISTOBA;02-11 BEBIDAS;D.O. Ribera del Duero;;
26689778;V. DOC RIOJA CRZA LDHARO 1,5LT C;02-11 BEBIDAS;D.O.Ca. Rioja;;
26694067;V.TTO RIOJA CRZA BERONIA 1,5L C/;02-11 BEBIDAS;D.O.Ca. Rioja;;
26740340;V.DOC RIOJA CZ H.ALFARO 0,75L C/;02-11 BEBIDAS;D.O.Ca. Rioja;;
00935304;CAVA GRAN JUVE CAMPS 6/75CL;02-11 BEBIDAS;Cava;;
27030097;BCO R.BAIXAS COLEC.P.SEÑ.0,75L C;02-11 BEBIDAS;D.O. Rías Baixas;;
27028331;V.DO R.DUERO SITIAL ROBL.0,75L C;02-11 BEBIDAS;D.O. Ribera del Duero;;
27028349;V.DO R.DUERO SITIAL CRZA 0,75L C;02-11 BEBIDAS;D.O. Ribera del Duero;;
18783381;V.TTO R.DUERO FINCA S.MARIA 6/75CL;02-11 BEBIDAS;D.O. Ribera del Duero;;
27068758;V. R.BAIX.AROUSA M.CODAX 0,75L C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
27081264;V.DOC RIOJA CZ MALPUESTO 0,75L C/6;02-11 BEBIDAS;D.O.Ca. Rioja;;
27081272;V.DOC RIOJA CRIANZ ORBEN 0,75L C/6;02-11 BEBIDAS;D.O.Ca. Rioja;;
24139156;GODEL.DO R.SACRA REGINA VIARUM C/6;02-11 BEBIDAS;D.O. Ribeira Sacra;;
27110030;VINO ALBARIÑO PACO&LOLA PRIME 0,75L C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
20166583;V.DO RIBEIRO COTO GOMARIZ 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
27156868;V. R.DUERO 8000 M.BURGOS 0,75L C;02-11 BEBIDAS;D.O. Ribera del Duero;;
90086038;VINO DO RIOJA LAN RESERVA TTO.12;02-11 BEBIDAS;D.O.Ca. Rioja;;
27086123;VINO RUBY PORTO HOOPER¿S 0,75L C;02-11 BEBIDAS;Oporto (Portugal);;
27367838;V.DO VALDEORRAS A COROA 75 CL C/;02-11 BEBIDAS;D.O. Valdeorras;;
27390699;V.D.O.VALDE.O LUAR DO SIL 1,5L C;02-11 BEBIDAS;D.O. Valdeorras;;
